head;2011 Forecast;
head;
head;http://www.mageia.org/
head;Description of planned expediture;Unit price;Quantity;Recurrence;Total price;Status
;Goodies;4500;1;1;;Pending
;April;100;1;1;;Pending
;Gandi (hosting: +1536MB of RAM);2.39;6;12;;Done (Wed Mar 30)
;Dedibox (build ISO);14.99;1;12;;Pending
;Internet domains;15;7;1;;Pending
;Fiona (backup server);1500;1;1;;Pending
;2 new nodes for BS;2500;2;1;;Pending
;Event box;1500;1;1;;Pending
;Event travel;1000;1;2;;Pending
;HW for spare;3000;1;1;;Pending
;Brand registration;250;1;1;;Pending
;Reserve fund;4000;1;1;;Pending